"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Analysis of cloud-to-ground lightning density in Brazil","A. Marotti; O. Pinto","Diretoria de Engenharia - AGC.E, Furnas Centrais Elétricas, Rio de Janeiro, RJ, Brazil; Atmospheric Electricity Group (ELAT), Brazilian Institute of Space Research - INPE, São José dos Campos, SP, Brazil","2017 International Symposium on Lightning Protection (XIV SIPDA)","23 Nov 2017","2017","","","138","140","The importance of information on cloud-to-ground lightning density to the Brazilian society has been increasing in importance due to their use in many different applications, in particular for the Brazilian Electric Sector. However, the information needs to be precise otherwise their use in engineering application does not provide large benefits. This article describes the present knowledge about cloud-to-ground lightning density data in Brazil and the possibilities to improve this information using new different sources of lightning data. Since all sources of information have intrinsic limitations, the use of them together may be the best way to get more precise information to meet the present needs. To do that, however, it is required to know in details the limitations involved in each source of data.","","978-1-5090-6053-5","10.1109/SIPDA.2017.8116913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8116913","lightning;lightning density;power electric sector","Clouds;Lightning protection;Satellites;Spatial resolution;Extraterrestrial measurements;Imaging","lightning;lightning protection","Brazilian society;Brazilian Electric Sector;engineering application;cloud-to-ground lightning density data;lightning data","","1","6","","23 Nov 2017","","","IEEE","IEEE Conferences"
"A three-port three-phase isolated DC-DC converter feasible to PV connection on a DC distribution system","R. N. M. de Oliveira; L. C. S. Mazza; D. S. Oliveira; H. M. Oliveira Filho","IFCE Campus Limoeiro do Norte, Limoeiro do Norte CE, Brazil; IFCE Campus Cedro, Cedro CE, Brazil; UFC Campus do Pici - Fortaleza, Fortaleza CE, Brazil; University for the International Integration of the Afro-Brazilian Lusophony UNILAB, Acarape CE, Brazil","2017 Brazilian Power Electronics Conference (COBEP)","15 Jan 2018","2017","","","1","6","This paper presents a current-fed three-phase, three-port dc-dc converter with high-frequency isolation and bidirectional capability. Port I is fed by a battery bank, port II employs a set of photovoltaic (PV) modules and port III is connected to a dc link. The topology uses three single-phase full-bridge converters in the primary side and a three-phase full bridge converter in the secondary one. High-frequency isolation is realized by three single-phase transformers connected in open delta-wye configuration. The theoretical analysis is performed considering the fundamental component of the voltage across the transformers. Maximum power point tracking (MPPT), the battery current and power flow between the primary and secondary sides are controlled by the duty cycle variation of the primary-side switches and the phase shift variation between the primary and secondary bridges. In order to validate the study, computer simulations of the proposed system considering a 380-V dc link and rated power of 3.5 kW are carried out.","","978-1-5090-6248-5","10.1109/COBEP.2017.8257272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257272","Battery Bank;DC-DC Converter;Gyrator;MPPT;Phase Shift;Photovoltaic Modules","Maximum power point trackers;Gyrators;Batteries;Control systems;Voltage control;Inductors;Reactive power","bridge circuits;DC power transmission;distribution networks;electric current control;load flow control;maximum power point trackers;photovoltaic power systems;power transformers;switching convertors","three-port dc-dc converter;high-frequency isolation;battery bank;photovoltaic modules;dc link;full-bridge converters;single-phase transformers;open delta-wye configuration;battery current;phase shift variation;primary bridges;secondary bridges;PV connection;DC distribution system;primary-side switches;three-phase isolated DC-DC converter;current-fed DC-DC converter;maximum power point tracking;power flow;MPPT;power 3.5 kW","","1","12","","15 Jan 2018","","","IEEE","IEEE Conferences"
"Digital Phase Standard of High Accuracy Up To the Megahertz Range","W. G. Kürten Ihlenfeld","Quality and Technology, Brazilian National Institute of Metrology, Duque de Caxias, Brazil","IEEE Transactions on Instrumentation and Measurement","10 May 2017","2017","66","6","1397","1404","This paper describes a system for generating and measuring extremely accurate phase angles that combines the digital synchronous signal generation with the synchronous subsampling technique, aided by digital phase regulation. The system can be set up with commercially available instrumentation. Experimental evidences suggest that the phase between two generated sine signals can be resolved to a few microradians up to the megahertz range.","1557-9662","","10.1109/TIM.2017.2662418","research of the Brazilian National Institute of Metrology, Quality and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7870578","Adaptive signal processing;digital signal processing;measurement standards;measurement techniques;phase estimation;signal analysis;uncertainty","Phase measurement;Clocks;Time-frequency analysis;Frequency synthesizers;Standards;Power measurement","phase measurement;signal processing;synchronous generators","digital phase standard;phase angles;digital synchronous signal generation;synchronous subsampling technique;sine signals","","3","30","","3 Mar 2017","","","IEEE","IEEE Journals"
"Evaluation of the New Information in the ${H}/\alpha$ Feature Space Provided by ICA in PolSAR Data Analysis","L. Pralon; G. Vasile; M. Dalla Mura; J. Chanussot","Brazilian Army Technological Center, Rio de Janeiro, Brazil; Grenoble Image Speech Signal Automatics Laboratory, CNRS/Grenoble INP, Grenoble, France; Grenoble Image Speech Signal Automatics Laboratory, CNRS/Grenoble INP, Grenoble, France; Grenoble Image Speech Signal Automatics Laboratory, CNRS/Grenoble INP, Grenoble, France","IEEE Transactions on Geoscience and Remote Sensing","22 Nov 2017","2017","55","12","6893","6909","The Cloude and Pottier H/α feature space is one of the most employed methods for unsupervised polarimetric synthetic aperture radar (PolSAR) data classification based on incoherent target decomposition (ICTD). The method can be split in two stages: the retrieval of the canonical scattering mechanisms present in an image cell and their parameterization. The association of the coherence matrix eigenvectors to the most dominant scattering mechanisms in the analyzed pixel introduces unfeasible regions in the H/α plane. This constraint can compromise the performance of detection, classification, and geophysical parameter inversion algorithms that are based on the investigation of this feature space. The independent component analysis (ICA), recently proposed as an alternative to eigenvector decomposition, provides promising new information to better interpret non-Gaussian heterogeneous clutter (inherent to highresolution SAR systems) in the frame of polarimetric ICTDs. Not constrained to any orthogonality between the estimated scattering mechanisms that compose the clutter under analysis, ICA does not introduce any unfeasible region in the H/α plane, increasing the range of possible natural phenomena depicted in the aforementioned feature space. This paper addresses the potential of the new information provided by the ICA as an ICTD method with respect to Cloude and Pottier H/α feature space. A PolSAR data set acquired in October 2006 by the E-SAR system over the upper part of the Tacul glacier from the Chamonix Mont Blanc test site, France, and a RAMSES X-band image acquired over Brétigny, France, are taken into consideration to investigate the characteristics of pixels that may fall outside the feasible regions in the H/α plane that arise when the eigenvector approach is employed.","1558-0644","","10.1109/TGRS.2017.2735992","Brazilian Army; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8048339","H/α feature space;independent component analysis (ICA);polarimetric incoherent target decomposition (ICTD)","Clutter;Entropy;Coherence;Algorithm design and analysis;Independent component analysis;Clustering algorithms","data analysis;eigenvalues and eigenfunctions;geophysical image processing;radar imaging;radar polarimetry;remote sensing by radar;synthetic aperture radar","unsupervised polarimetric synthetic aperture radar data classification;incoherent target decomposition;canonical scattering mechanisms;coherence matrix eigenvectors;dominant scattering mechanisms;unfeasible region;geophysical parameter inversion algorithms;independent component analysis;ICA;eigenvector decomposition;nonGaussian heterogeneous clutter;estimated scattering mechanisms;aforementioned feature space;ICTD method;PolSAR data analysis;Cloude and Pottier H-alpha feature space;H-alpha plane;polarimetric ICTD;H-alpha feature space provided","","4","58","","21 Sep 2017","","","IEEE","IEEE Journals"
"Supporting defect causal analysis in practice with cross-company data on causes of requirements engineering problems","M. Kalinowski; P. Curty; A. Paes; A. Ferreira; R. Spinola; D. Mendez Fernandez; M. Felderer; S. Wagner","Fluminense Fed. Univ., Niteroi, Brazil; Fluminense Fed. Univ., Niteroi, Brazil; Fluminense Fed. Univ., Niteroi, Brazil; Inf. Technol. Area, Brazilian Nat. Dev. Bank, Rio de Janeiro, Brazil; Fraunhofer Project Center, Univ. of Salvador, Salvador, Brazil; Software & Syst. Eng., Tech. Univ. of Munich, Munich, Germany; Inst. of Comput. Sci., Univ. of Innsbruck, Innsbruck, Austria; Inst. of Software Technol., Univ. of Stuttgart, Stuttgart, Germany","2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP)","24 Aug 2017","2017","","","223","232","[Context] Defect Causal Analysis (DCA) represents an efficient practice to improve software processes. While knowledge on cause-effect relations is helpful to support DCA, collecting cause-effect data may require significant effort and time. [Goal] We propose and evaluate a new DCA approach that uses cross-company data to support the practical application of DCA. [Method] We collected cross-company data on causes of requirements engineering problems from 74 Brazilian organizations and built a Bayesian network. Our DCA approach uses the diagnostic inference of the Bayesian network to support DCA sessions. We evaluated our approach by applying a model for technology transfer to industry and conducted three consecutive evaluations: (i) in academia, (ii) with industry representatives of the Fraunhofer Project Center at UFBA, and (iii) in an industrial case study at the Brazilian National Development Bank (BNDES). [Results] We received positive feedback in all three evaluations and the cross-company data was considered helpful for determining main causes. [Conclusions] Our results strengthen our confidence in that supporting DCA with cross-company data is promising and should be further investigated.","","978-1-5386-2717-4","10.1109/ICSE-SEIP.2017.14","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965446","defect causal analysis;cross-company data;Bayesian network;case study;technology transfer;requirements engineering","Bayes methods;Organizations;Systematics;Context;Software;Guidelines;Industries","belief networks;formal specification","requirements engineering problems;defect causal analysis;DCA approach;cross-company data;Bayesian network;Fraunhofer project center","","","27","","24 Aug 2017","","","IEEE","IEEE Conferences"
"Current source converter model and control for a particle accelerator quadrupole magnet","F. H. de Oliveira; E. P. L. B. Aquino; C. Rodrigues; J. G. Oliveira; V. F. Montagner; P. M. de Almeida; A. A. Ferreira","Federal University of Juiz de Fora, Juiz de Fora - MG, Brazil; Federal University of Juiz de Fora, Juiz de Fora - MG, Brazil; Brazilian Synchrotron Light Laboratory - LNLS; Federal University of Juiz de Fora, Juiz de Fora - MG, Brazil; Federal University of Santa Maria, Santa Maria - RS, Brazil; Federal University of Juiz de Fora, Juiz de Fora - MG, Brazil; Federal University of Juiz de Fora, Juiz de Fora - MG, Brazil","2017 Brazilian Power Electronics Conference (COBEP)","15 Jan 2018","2017","","","1","6","This paper presents the model and control of a modular current source for feeding the magnetic quadrupole of Sirius, the new synchrotron light laboratory being built in Campinas, São Paulo, Brazil. A model of n modules series-connected was developed to simulate the output stage of the power supply. Using this model, the Linear Quadratic Regulator (LQR) control technique was implemented in the current source topology. An interleaved switching technique with a phase-shifted carrier was also proposed. Later, the performances of both topologies were compared to a conventional topology.","","978-1-5090-6248-5","10.1109/COBEP.2017.8257347","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257347","Current source;interleaved;LQR;modular converter modeling;quadrupole","Mathematical model;Load modeling;Synchrotrons;Switches;Indexes;Topology;Modulation","accelerator magnets;constant current sources;electric current control;linear quadratic control;particle accelerators;power convertors","particle accelerator quadrupole magnet;synchrotron light laboratory;Sao Paulo;linear quadratic regulator control technique;current source converter control;modular current source control;magnetic quadrupole;Sirius;Campinas;Brazil;phase-shifted carrier;interleaved switching technique;current source topology;power supply","","","12","","15 Jan 2018","","","IEEE","IEEE Conferences"
"SDR-based radar-detectors embedded on tablet devices","R. Goncalves Licursi de Mello; F. R. de Sousa; C. Junqueira","ALA 3, Brazilian Air Force, Canoas, Brazil; Radio Frequency Laboratory, Federal University of Santa Catarina, Florianópolis, Brazil; P&D Dept, Espectro Ltda., Campinas, Brazil","2017 SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference (IMOC)","30 Nov 2017","2017","","","1","5","Software-Defined Radio (SDR) technology has already cleared up passive radar applications. Nevertheless, until now, no work has pointed how this flexible radio could fully and directly exploit pulsed radar signals. This paper aims at introducing this field of study presenting not only an SDR-based radar-detector but also how it could be conceived on a low power consumption device as a tablet, which would make convenient a passive network to identify and localize aircraft as a redundancy to the conventional air traffic control in adverse situations. After a brief approach of the main features of the equipment, as well as of the developed processing script, indoor experiments took place. Their results demonstrate that the processing of pulsed radar signal allows emitters to be identified when a local database is confronted. All this commitment has contributed to a greater proposal of an Electronic Intelligence (ELINT) or Electronic Support Measures (ESM) system embedded on a tablet, presenting characteristics of portability and furtiveness. This study is suggested for the areas of Software-Defined Radio, Electronic Warfare, Electromagnetic Devices and Radar Signal Processing.","","978-1-5090-6241-6","10.1109/IMOC.2017.8121126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8121126","Software-Defined Radio;Electronic Warfare;Electronic Intelligence;Electronic Support Measures","Receivers;Radar signal processing;Frequency measurement;Passive radar;Antenna arrays;Databases","air traffic control;electronic warfare;passive radar;radar applications;radar detection;radar signal processing;software radio","radar signal processing;electromagnetic devices;electronic warfare;ESM;electronic support measures system;ELINT;electronic intelligence;local database;conventional air traffic control;passive network;low power consumption device;pulsed radar signal;flexible radio;passive radar applications;Software-Defined Radio technology;tablet devices;radar-detector;SDR","","2","22","","30 Nov 2017","","","IEEE","IEEE Conferences"
"Feature selection for hyperspectral images using single-layer neural networks","M. Habermann; V. Fremont; E. H. Shiguemori","Sorbonne Universités, Université de Technologie de Compiègne, CNRS, Heudiasyc UMR 7253, CS 60319, 60203 Compiègne cedex, France; Sorbonne Universités, Université de Technologie de Compiègne, CNRS, Heudiasyc UMR 7253, CS 60319, 60203 Compiègne cedex, France; Institute for Advanced Studies, Brazilian Air Force, Brazil","8th ​​International Conference of Pattern Recognition Systems (ICPRS 2017)","24 May 2018","2017","","","1","6","Hyperspectral image classification by means of Deep Learning techniques is now a widespread practice. Its success comes from the abstract features learned by the deep architecture that are ultimately well separated in the feature space. The great amount of parameters to be learned requires the training data set to be very large, otherwise the risk of overfitting appears. Alternatively, one can resort to features selection in order to decrease the architecture's number of parameters to be learnt. For that purpose, this work proposes a simple feature selection method, based on single-layer neural networks, which select the most distinguishing features for each class. Then, the data will be classified by a deep neural network. The accuracy results for the testing data are higher for the lower dimensional data set when compared to the full data set, indicating less overfitting for the reduced data. Besides, a metric based on scatter matrices shows that the classes are better separated in the reduced feature space.","","978-1-78561-652-5","10.1049/cp.2017.0140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8362080","Feature Selection;Deep Learning;Overfitting Problem;Hyperspectral Images","","feature selection;hyperspectral imaging;image classification;learning (artificial intelligence);matrix algebra;neural nets","feature selection;single-layer neural networks;hyperspectral image classification;deep learning technique;abstract feature learning;deep architecture;feature space;parameter learning;deep neural network;scatter matrices","","","","","24 May 2018","","","IET","IET Conferences"
"Web and virtual reality as platforms to improve online education experiences","D. Cortiz; J. O. Silva","Web Technologies Study Center (Ceweb.br), Brazilian Network Information Center (NIC.br), São Paulo, Brazil; Computer Science Department, Pontifical Catholic University of São Paulo, Brazil","2017 10th International Conference on Human System Interactions (HSI)","10 Aug 2017","2017","","","83","87","Some universities and schools have offered virtual courses to their students as part of their official curriculum. Online learning is a coherent approach for contemporary education; however, some studies show it has some weaknesses that could be addressed to enhance its potential. In this paper, we argue how virtual reality improve online learning in some aspects, such as giving students the sense of presence in an immersive world, and bringing a new way to interact with colleagues and teachers when they are not in the same place. We also discuss the role of WebVR as an open platform to bring new possibilities to explore virtual reality worlds in education.","","978-1-5090-4688-1","10.1109/HSI.2017.8005003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8005003","WebVR;virtual reality;online learning;web","Education;Resists;Solid modeling;Prototypes;Google;Virtual environments","computer aided instruction;Internet;virtual reality","virtual reality;online education experiences;online learning;WebVR","","2","14","","10 Aug 2017","","","IEEE","IEEE Conferences"
"Improving Multi-agent Planning with Unsolvability and Independent Plan Detection","L. H. Moreira; C. G. Ralha","Dept. of Comput. Sci., Univ. of Braslia, Braslia, Brazil; Syst. Dev. Center, Brazilian Army, Brazil","2017 Brazilian Conference on Intelligent Systems (BRACIS)","8 Jan 2018","2017","","","103","108","Multi-Agent Planning (MAP) is a challenging issue in the field of Artificial Intelligence that has gained increasing attention in the recent years. Because of the computational complexity and demanding interaction among agents, the high execution times and the volume of communication are open problems. To address these problems, we propose a Lightweight Coordination Multi-Agent Planning (LCMAP) approach that includes modules to compute unsolvability and independent plans detection, before the actual planning phase. The unsolvability detection is employed to avoid searching for planning tasks without solution, whereas the independent plans detection identifies goals that can be carried out independently by certain agents. The latter minimizes the interaction among agents, resulting in a low communication load and lightweight coordination during the actual planning phase. With the proposed modules, LCMAP can perform the coordination process and transform the MAP into multiple single-agent planning problems. The experimental results, initially focused on loosely coupled domains, show that LCMAP is up to 1.48× faster than the Distributed Cooperative Multi Agent Planning (FMAP) approach. Compared to the FMAP performance, LCMAP attained a reduction of up to 777× in the number of messages exchanged among agents during the planning process. In addition, using the benchmarks available at Unsolvability International Competition, LCMAP detected four instances as unsolvable problems. Therefore, the LCMAP unsolvability module proved its efficiency considering different number of actions and predicates.","","978-1-5386-2407-4","10.1109/BRACIS.2017.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8247037","Multi-agent planning;multi-agent systems;automated planning","Planning;Complexity theory;Transforms;Privacy;Tools;Sensors","computational complexity;multi-agent systems;planning (artificial intelligence)","independent plans detection;actual planning phase;unsolvability detection;multiple single-agent planning problems;planning process;unsolvable problems;LCMAP unsolvability module;improving multiagent planning;independent plan detection;computational complexity;distributed cooperative multiagent planning approach;lightweight coordination multiagent planning approach","","","17","","8 Jan 2018","","","IEEE","IEEE Conferences"
"Brazil's Bolsa Familia and young adult workers: A parallel RDD approach to large datasets","A. Dourado; R. N. Carvalho; G. C. G. van Erven","Social Security Audit Department, Brazilian Federal Court of Accounts (TCU), Brasilia, DF, Brazil; Department of Computer Science (CIC), University of Brasilia (UnB), Brasilia, DF, Brazil; Department of Research and Strategic Information (DIE) Ministry of Transparency, Monitoring and Office of the Comptroller-General (CGU), Brasilia, DF, Brazil","2017 International Joint Conference on Neural Networks (IJCNN)","3 Jul 2017","2017","","","17","24","Regression-Discontinuity Design is a non-experimental method to estimate the impacts of social welfare programs in situations where the treatment assignment is determined by whether an observed variable (running variable) is above or below a known cutoff point. The main idea behind RDD is that individuals whose running variable is just above or just below the cutoff are similar, and so, any differences in the outcome between the two groups (just below and just above) may be attributed to the treatment. Despite the existence of many recent works on the RDD subject, the existing software that implements the state of the art RDD procedures is unfit to deal with very large datasets, which are increasingly more common. The purpose of this work is to present a Parallel Computing Approach refactoring of a well-known RDD algorithm and apply it to a dataset from Bolsa Familia with more than 13 million observations. The objective of the RDD study is to evaluate the impact of the program on the labor choices of needy 18-year-old Brazilian boys and girls. We verified that the parallel approach was able to process Bolsa Familia data in a reasonable time and that it outperformed other existing RDD implementations.","2161-4407","978-1-5090-6182-2","10.1109/IJCNN.2017.7965830","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965830","","Estimation;Linear regression;Pregnancy","labour resources;mathematics computing;parallel processing;regression analysis;social sciences computing;software maintenance","Bolsa Familia;young adult workers;parallel RDD approach;large datasets;regression-discontinuity design;nonexperimental method;social welfare programs;treatment assignment;cutoff point;RDD procedures;parallel computing approach refactoring;labor choices;Brazilian boys;Brazilian girls","","1","26","","3 Jul 2017","","","IEEE","IEEE Conferences"
"Modeling Fading Channels With Binary Erasure Finite-State Markov Channels","I. Moreira; C. Pimentel; F. P. Barros; D. P. B. Chaves","Brazilian Telecommunications Agency, Brasília, Brazil; Department of Electronics and Systems, Federal University of Pernambuco, Recife, Brazil; Department of Electronics and Systems, Federal University of Pernambuco, Recife, Brazil; Department of Electronics and Systems, Federal University of Pernambuco, Recife, Brazil","IEEE Transactions on Vehicular Technology","15 May 2017","2017","66","5","4429","4434","Finite-state Markov channels (FSMCs) are commonly used to characterize the memory of binary (binary-input, binary-output) discrete fading channels (DFCs). This paper proposes a new FSMC model, called the ternary Markov channel (TMC), to characterize ternary (binary-input, ternary-output) discrete channels with memory and soft-information. The TMC is used to model a DFC with the simplest soft-decision quantizer that labels low reliable received symbols as erasure symbols. This paper also proposes an enumerative technique to analytically evaluate the performance of a linear block code over the TMC. A new recurrence expression is developed for calculating the probability of codeword error for bounded distance error and erasure decoding.","1939-9359","","10.1109/TVT.2016.2597743","Conselho Nacional de Desenvolvimento Científico e Tecnológico; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7529182","Block codes;burst noise;channels with memory;erasure channels;error probability;fading channels;finite-state Markov channel (FSMC);generating series;quantizer;soft decision","Markov processes;Fading channels;Signal to noise ratio;Probability;Decoding;Correlation;Block codes","block codes;channel coding;decoding;error statistics;fading channels;linear codes;Markov processes;quantisation (signal)","binary erasure finite-state Markov channels;binary discrete fading channel modeling;DFC;binary-input binary-output discrete fading channel;FSMC model;ternary Markov channel;TMC;soft-decision quantizer;enumerative technique;linear block code performance evaluation;recurrence expression;codeword error probability calculation;bounded distance error;erasure decoding","","6","22","","2 Aug 2016","","","IEEE","IEEE Journals"
"Reactive Power Billing Under Nonsinusoidal Conditions for Low-Voltage Systems","D. Vieira; R. A. Shayani; M. A. G. de Oliveira","Brazilian Electricity Regulatory Agency-ANEEL, Brasília, CEP, Brazil; Department of Electrical Engineering, Faculty of Technology, University of Brasília, Brasília, CEP, Brazil; Department of Electrical Engineering, Faculty of Technology, University of Brasília, Brasília, CEP, Brazil","IEEE Transactions on Instrumentation and Measurement","12 Jul 2017","2017","66","8","2004","2011","This paper analyzes reactive power definitions for billing purposes in low-voltage installations with high harmonic distortion levels. First, the theoretical definitions of power under nonsinusoidal conditions and their outcomes are presented and two of them are chosen as the focus to determine which one is the most appropriate for billing: nonactive power and fundamental reactive power. The regulatory framework of different countries is then analyzed and compared with the theoretical definitions. Subsequently, different reactive power measurement methods are analyzed and their outputs are again compared with the definitions. Simulations performed with typical nonsinusoidal voltage and current signals show that several measurement techniques can easily be used for fundamental reactive power measurement, whereas the measurement of nonactive power requires more effort. Finally, a regulatory comparison of the pros and cons of each reactive power quantity is conducted. It is concluded that the surplus of reactive power in electricity grids should be controlled via fundamental reactive power (or displacement power factor), since it is independent of the harmonic distortion, the responsibility for it can be easily assigned, and it is easy to be measured with the use of several simple electronic measurement techniques.","1557-9662","","10.1109/TIM.2017.2673058","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7879815","Harmonic distortion;Q measurement;reactive power;wavelet transforms","Reactive power;Power measurement;Voltage measurement;Current measurement;Harmonic analysis;Power system harmonics;Distortion measurement","harmonic distortion;power measurement;reactive power;wavelet transforms","reactive power billing;low-voltage systems;nonsinusoidal conditions;reactive power measurement;harmonic distortion;wavelet transforms","","4","28","","16 Mar 2017","","","IEEE","IEEE Journals"
"A Hybrid Approach for Incorporating Deep Visual Features and Side Channel Information with Applications to AMD Detection","A. Horta; N. Joshi; M. Pekala; K. D. Pacheco; J. Kong; N. Bressler; D. E. Freund; P. Burlina","Johns Hopkins Univ. Appl. Phys. Lab., Laurel, MD, USA; Johns Hopkins Univ. Appl. Phys. Lab., Laurel, MD, USA; Johns Hopkins Univ. Appl. Phys. Lab., Laurel, MD, USA; Dept. of Retina, Brazilian Center of Vision Eye Hosp., Brasilia, Brazil; Johns Hopkins Wilmer Eye Inst., Baltimore, MD, USA; Johns Hopkins Wilmer Eye Inst., Baltimore, MD, USA; Johns Hopkins Univ. Appl. Phys. Lab., Laurel, MD, USA; Johns Hopkins Univ. Appl. Phys. Lab., Laurel, MD, USA","2017 16th IEEE International Conference on Machine Learning and Applications (ICMLA)","18 Jan 2018","2017","","","716","720","This work investigates a hybrid method based on random forests and deep image features to combine non-visual side channel information with image data for classification. We apply this to automated retinal image analysis (ARIA) and the detection of age-related macular degeneration (AMD). For evaluation, we use a dataset collected by the National Institute of Health with over 4000 study participants. The non-visual side channel data includes information related to demographics (e.g. ethnicity), lifestyle (e.g. sunlight exposure), and prior conditions (e.g. cataracts). Our study, which compares the performance of different feature combinations, offers preliminary results that constitute a baseline for future investigations on joint deep visual and side channel feature exploitation for AMD detection. This approach could potentially be used for other medical image analysis problems.","","978-1-5386-1418-1","10.1109/ICMLA.2017.00-75","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8260717","deep learning;side channel incorporation;non tenso features;age related macular degeneration;AMD","Retina;Vegetation;Radio frequency;Visualization;Machine learning;Image analysis;Biomedical imaging","eye;feature extraction;image classification;medical image processing;vision defects","nonvisual side channel data;joint deep visual side channel feature exploitation;AMD detection;random forests;deep image features;nonvisual side channel information;automated retinal image analysis;medical image analysis;deep visual features;age-related macular degeneration detection;image data classification","","","26","","18 Jan 2018","","","IEEE","IEEE Conferences"
"Covert Attacks in Cyber-Physical Control Systems","A. O. de Sá; L. F. R. d. C. Carmo; R. C. S. Machado","Admiral Wandenkolk Instruction Center, Brazilian Navy, Rio de Janeiro, Brazil; Institute of Mathematics/NCE—Tércio Pacitti Institute, Federal University of Rio de Janeiro, Rio de Janeiro; National Institute of Metrology, Quality and Technology (INMETRO), Federal Center for Technologic Education of Rio de Janeiro (CEFET/RJ), Rio de Janeiro, Brazil","IEEE Transactions on Industrial Informatics","3 Aug 2017","2017","13","4","1641","1651","The advantages of using communication networks to interconnect controllers and physical plants motivate the increasing number of networked control systems in industrial and critical infrastructure facilities. However, this integration also exposes such control systems to new threats, typical of the cyber domain. In this context, studies have been conducted, aiming to explore vulnerabilities and propose security solutions for cyber-physical systems. In this paper, a covert attack for service degradation is proposed, which is planned based on the intelligence gathered by another attack, herein proposed, referred as system identification attack. The simulation results demonstrate that the joint operation of the two attacks is capable to affect, in a covert and accurate way, the physical behavior of a system.","1941-0050","","10.1109/TII.2017.2676005","Brazilian research agencies CNPq; FAPERJ; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7866869","Cyber-physical systems;networked control systems (NCSs);security","Informatics;Networked control systems;Degradation;Cyber-physical systems;Process control;Taxonomy","computer network security;critical infrastructures;cyber-physical systems;networked control systems","covert attacks;cyber-physical control systems;communication networks;networked control systems;NCS;critical infrastructure facilities;service degradation;system identification attack","","23","38","","28 Feb 2017","","","IEEE","IEEE Journals"
"Iterative decoding of finite-state Markov channels with soft-decision","I. Moreira; C. Pimentel","Brazilian Telecommunications Agency, Brasilia-DF, Brazil; Department of Electronics and Systems - UFPE, Recife-PE, Brazil","2017 8th IEEE Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","23 Nov 2017","2017","","","12","17","This paper presents a non-binary finite-stat Markov channel (FSMC) that captures both the soft-decision information and the temporal correlation of a discrete fading channel (DFC) with 2ξ quantization levels. The parameters of the FSMC that approximate the DFC with fixe parameters are found using the Baum-Welch algorithm. An iterative decoding scheme, based on the sum-product algorithm, is also discussed for joint decoding and channel state estimation. The performance of LDPC codes over the proposed non-binary FSMC under the joint iterative decoder is then studied and the coding gain obtained by increasing the channel output alphabet is analyzed.","","978-1-5386-3371-7","10.1109/IEMCON.2017.8117130","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8117130","Bit error rate;finite-stat Markov channels;LDPC codes;iterative decoding;Rayleigh fading channels;soft-decision demodulator","Iterative decoding;Fading channels;Markov processes;Quantization (signal);Channel estimation;Decoding","binary codes;channel capacity;channel coding;fading channels;iterative decoding;Markov processes;parity check codes;quantisation (signal)","finite-state Markov channels;LDPC codes;channel output alphabet;joint iterative decoder;nonbinary FSMC;channel state estimation;sum-product algorithm;iterative decoding scheme;Baum-Welch algorithm;DFC;discrete fading channel;temporal correlation;soft-decision information","","","17","","23 Nov 2017","","","IEEE","IEEE Conferences"
